position,person,personID,start,end
President,Muhammad Haji Ibrahim Egal,Q470991,1993-05-16,2002-05-03
President,Dahir Rayale Kahin,Q355458,2002-05-03,2010-07-27
President,Ahmed Mohamed Mohamoud,Q380187,2010-07-27,
President,Muse Bihi Abdi,Q17155777,2017-12-13,
Vice President,Dahir Rayale Kahin,Q355458,1993-05-16,2002-05-03
Vice President,Abdirahman Saylici,Q3675842,2010-07-27,
Minister of Foreign Affairs,Yasin Haji Mohamoud,Q85232623,2018-11-10,2020-03-03
Minister of Foreign Affairs,Essa Kayd,Q108477781,2020-03-03,
Minister of Health,Saleban Essa Ahmed,Q37993281,2013-01,2017-11
Minister of Health,Hassan Ismail Yusuf,Q89208921,2017-12-14,2019-04-14
Minister of Health,Omar Ali Abdillahi,Q86259082,2019-04-14,
Mayor of Hargeisa,Abdikarim Ahmed Mooge,Q107310838,2021-06-17,
